date,474369808
2019-12-02,5587
2019-12-03,5744
2019-12-04,5843
2019-12-05,5924
2019-12-06,6013
2019-12-07,6106
2019-12-08,6209
2019-12-09,6255
2019-12-10,6354
2019-12-11,6468
2019-12-12,6577
2019-12-13,6649
2019-12-14,6755
2019-12-15,6841
2019-12-16,6938
2019-12-17,7042
2019-12-18,7123
2019-12-19,7195
2019-12-20,7297
2019-12-21,7417
2019-12-22,7537
2019-12-23,7593
2019-12-24,7658
2019-12-25,7704
2019-12-26,7725
2019-12-27,7786
2019-12-28,7858
2019-12-29,7945
2019-12-30,7991
2019-12-31,8053
2020-01-01,8106
2020-01-02,8143
2020-01-03,8172
2020-01-04,8213
2020-01-05,8256
2020-01-06,8302
2020-01-07,8360
2020-01-08,8412
2020-01-09,8472
2020-01-10,8504
2020-01-11,8529
2020-01-12,8558
2020-01-13,8584
2020-01-14,8632
2020-01-15,8692
2020-01-16,8735
2020-01-17,8787
2020-01-18,8981
2020-01-19,9101
2020-01-20,9172
2020-01-21,9278
2020-01-22,9350
2020-01-23,9501
2020-01-24,9592
2020-01-25,9682
2020-01-26,9815
2020-01-27,10005
2020-01-28,10211
2020-01-29,10346
2020-01-30,10497
2020-01-31,10736
2020-02-01,11160
2020-02-02,11539
2020-02-03,11814
2020-02-04,11908
2020-02-05,12017
2020-02-06,12163
2020-02-07,12322
2020-02-08,12422
2020-02-09,12524
2020-02-10,12649
2020-02-11,12810
2020-02-12,12942
2020-02-13,13077
2020-02-14,13201
2020-02-15,13299
2020-02-16,13377
2020-02-17,13520
2020-02-18,13616
2020-02-19,13708
2020-02-20,13745
2020-02-21,13825
2020-02-22,13888
2020-02-23,14008
2020-02-24,14159
2020-02-25,14280
2020-02-26,14444
2020-02-27,14576
2020-02-28,14788
2020-02-29,14862
2020-03-01,14968
2020-03-02,15030
2020-03-03,15095
2020-03-04,15249
2020-03-05,15313
2020-03-06,15418
2020-03-07,15524
2020-03-08,15601
2020-03-09,15707
2020-03-10,15790
2020-03-11,15888
2020-03-12,15997
2020-03-13,16109
2020-03-14,16193
2020-03-15,16449
2020-03-16,16553
2020-03-17,16650
2020-03-18,16717
2020-03-19,16800
2020-03-20,16900
2020-03-21,17112
2020-03-22,17238
2020-03-23,17369
2020-03-24,17462
2020-03-25,17675
2020-03-26,17764
2020-03-27,17884
2020-03-28,17952
2020-03-29,18048
2020-03-30,18198
2020-03-31,18302
2020-04-01,18448
2020-04-02,19010
2020-04-03,19163
2020-04-04,19292
2020-04-05,19427
2020-04-06,19541
2020-04-07,19721
2020-04-08,19894
2020-04-09,20174
2020-04-10,20283
2020-04-11,20493
2020-04-12,20794
2020-04-13,21013
2020-04-14,21140
2020-04-15,21682
2020-04-16,22169
2020-04-17,22374
2020-04-18,22583
2020-04-19,22861
2020-04-20,22984
2020-04-21,23210
2020-04-22,23379
2020-04-23,23527
2020-04-24,23693
2020-04-25,23847
2020-04-26,24001
2020-04-27,24294
2020-04-28,24439
2020-04-29,24599
2020-04-30,24710
2020-05-01,24817
2020-05-02,24968
2020-05-03,25097
2020-05-04,25282
2020-05-05,25387
2020-05-06,25495
2020-05-07,25579
2020-05-08,25664
2020-05-09,25794
2020-05-10,25858
2020-05-11,25908
2020-05-12,26054
2020-05-13,26129
2020-05-14,26222
2020-05-15,26284
2020-05-16,26433
2020-05-17,26485
2020-05-18,26570
2020-05-19,26627
2020-05-20,26704
2020-05-21,26763
2020-05-22,26868
2020-05-23,26968
2020-05-24,27053
2020-05-25,27115
2020-05-26,27219
2020-05-27,27278
2020-05-28,27325
2020-05-29,27394
2020-05-30,27552
2020-05-31,27618
2020-06-01,27698
2020-06-02,27807
2020-06-03,27959
2020-06-04,28000
2020-06-05,28048
2020-06-06,28562
2020-06-07,28728
2020-06-08,28762
2020-06-09,28837
2020-06-10,29005
2020-06-11,29056
2020-06-12,29084
2020-06-13,29163
2020-06-14,29211
2020-06-15,29235
2020-06-16,29251
2020-06-17,29285
2020-06-18,29345
2020-06-19,29354
2020-06-20,29385
2020-06-21,29419
2020-06-22,29447
2020-06-23,29469
2020-06-24,29549
2020-06-25,29642
2020-06-26,29737
2020-06-27,29818
2020-06-28,29863
2020-06-29,29926
2020-06-30,29989
2020-07-01,30000
2020-07-02,30013
2020-07-03,30085
2020-07-04,30142
2020-07-05,30206
2020-07-06,30229
2020-07-07,30259
2020-07-08,30286
2020-07-09,30320
2020-07-10,30427
2020-07-11,30491
2020-07-12,30556
2020-07-13,30637
2020-07-14,30715
2020-07-15,30751
2020-07-16,30787
2020-07-17,30837
2020-07-18,30873
2020-07-19,30895
2020-07-20,31010
2020-07-21,31038
2020-07-22,31118
2020-07-23,31160
2020-07-24,31200
2020-07-25,31225
2020-07-26,31278
2020-07-27,31339
2020-07-28,31371
2020-07-29,31485
2020-07-30,31575
2020-07-31,31726
2020-08-01,32018
2020-08-02,32042
2020-08-05,32270
